#=================================================================
# Traffic
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# Segments: IRCC - EN & FR, Public traffic"
# Traffic to IRCC sites remains stable compared to last month.
#=================================================================


##############################################
# Key metric summary Data (3)
##############################################
,Page Views per Visit,Page Views per Visit
,Page Views per Visit,Month before
2024-04-04,2778054,3310125
2024-04-05,2513094,3265427
2024-04-06,1878457,3229132
2024-04-07,2027576,3032194
2024-04-08,3064780,2585367
2024-04-09,2895240,2046960
2024-04-10,2677284,2036220
2024-04-11,2853498,3083539
2024-04-12,2523465,3378247
2024-04-13,1837581,3188017
2024-04-14,2094399,2923769
2024-04-15,3520990,2596988
2024-04-16,2993074,1999291
2024-04-17,3004977,2059993
2024-04-18,2816208,3092379
2024-04-19,2547147,3527576
2024-04-20,2248091,3109504
2024-04-21,3207626,2996748
2024-04-22,3620552,2754226
2024-04-23,3357301,2112418
2024-04-24,3114275,2087530
2024-04-25,3016388,3102480
2024-04-26,2606262,3163151
2024-04-27,2266950,2973981
2024-04-28,3327201,2620201
2024-04-29,4057436,2076072
2024-04-30,3118499,1755355


##############################################
# Key metric summary Data
##############################################
,Visits,Visits
,Visits,Month before
Day,25079132,26641890
2024-04-01,782894,1155203
2024-04-02,939830,759498
2024-04-03,946018,740433
2024-04-04,894262,1050285
2024-04-05,825880,1052126
2024-04-06,592904,1063712
2024-04-07,573072,1005126
2024-04-08,873704,868767
2024-04-09,897022,671606
2024-04-10,878985,650390
2024-04-11,930037,1000147
2024-04-12,812617,1079267
2024-04-13,575555,1055722
2024-04-14,575187,968953
2024-04-15,960461,868748
2024-04-16,926175,655176
2024-04-17,918764,648268
2024-04-18,879397,988968
2024-04-19,798824,1096545
2024-04-20,598448,1018517
2024-04-21,662506,982930
2024-04-22,1027651,909891
2024-04-23,1016145,679588
2024-04-24,981923,652544
2024-04-25,947342,993384
2024-04-26,829413,1028150
2024-04-27,642138,974159
2024-04-28,700691,868290
2024-04-29,1164981,671603
2024-04-30,1007653,566454


##############################################
# Key metric summary Data (2)
##############################################
,Daily average visits,Daily average visits
,Daily average visits,Month before
Day,835971.0666666667,888063
2024-04-01,782894,1155203
2024-04-02,939830,759498
2024-04-03,946018,740433
2024-04-04,894262,1050285
2024-04-05,825880,1052126
2024-04-06,592904,1063712
2024-04-07,573072,1005126
2024-04-08,873704,868767
2024-04-09,897022,671606
2024-04-10,878985,650390
2024-04-11,930037,1000147
2024-04-12,812617,1079267
2024-04-13,575555,1055722
2024-04-14,575187,968953
2024-04-15,960461,868748
2024-04-16,926175,655176
2024-04-17,918764,648268
2024-04-18,879397,988968
2024-04-19,798824,1096545
2024-04-20,598448,1018517
2024-04-21,662506,982930
2024-04-22,1027651,909891
2024-04-23,1016145,679588
2024-04-24,981923,652544
2024-04-25,947342,993384
2024-04-26,829413,1028150
2024-04-27,642138,974159
2024-04-28,700691,868290
2024-04-29,1164981,671603
2024-04-30,1007653,566454


##############################################
# Key metric summary Data (4)
##############################################
,Daily average page views,Daily average page views
,Daily average page views,Month before
Day,2817770.966666667,2757039.233333333
2024-04-01,2478240,3893679
2024-04-02,3038054,2345444
2024-04-03,3050430,2365164
2024-04-04,2778054,3310125
2024-04-05,2513094,3265427
2024-04-06,1878457,3229132
2024-04-07,2027576,3032194
2024-04-08,3064780,2585367
2024-04-09,2895240,2046960
2024-04-10,2677284,2036220
2024-04-11,2853498,3083539
2024-04-12,2523465,3378247
2024-04-13,1837581,3188017
2024-04-14,2094399,2923769
2024-04-15,3520990,2596988
2024-04-16,2993074,1999291
2024-04-17,3004977,2059993
2024-04-18,2816208,3092379
2024-04-19,2547147,3527576
2024-04-20,2248091,3109504
2024-04-21,3207626,2996748
2024-04-22,3620552,2754226
2024-04-23,3357301,2112418
2024-04-24,3114275,2087530
2024-04-25,3016388,3102480
2024-04-26,2606262,3163151
2024-04-27,2266950,2973981
2024-04-28,3327201,2620201
2024-04-29,4057436,2076072
2024-04-30,3118499,1755355


#=================================================================
# Mobile
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# Segments: IRCC - EN & FR, Public traffic"
#=================================================================


##############################################
# Device types
##############################################
,Visits
Device Type (v4),25115131
mobile,12806901
desktop,11932321
tablet,375909


##############################################
# Top mobile pages
"# The pages with the most mobile traffic are mostly from campaigns (e.g. Before you apply, Claiming asylum, Welcoming women in Canada, Come to Canada)."
"# "
# Footnote: Pages with less than 1K visits in a month are excluded.
##############################################
,% mobile visits (min 1K visits)
Page URL (v12),0.500076220462217
www.canada.ca/en/immigration-refugees-citizenship/campaigns/before-apply-india-hi.html,0.9571023876972885
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/facts-ar.html,0.9041315683914962
www.canada.ca/en/immigration-refugees-citizenship/campaigns/claiming-asylum-ar.html,0.9034900284900285
www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-ar.html,0.8754859611231102
www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/2024/04/le-canada-va-introduire-de-nouvelles-regles-concernant-les-heures-de-travail-hors-campus-pour-les-etudiants-etrangers.html,0.8687312874251497
www.canada.ca/en/immigration-refugees-citizenship/campaigns/choose-canada.html,0.859807337569174
www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/2024/04/le-ministre-miller-abordera-la-question-des-heures-de-travail-hors-campus-pour-les-etudiants-etrangers.html,0.8492736077481841
www.canada.ca/fr/immigration-refugies-citoyennete/services/proteger-fraude/consequences-fraude.html,0.8489916379734382
www.canada.ca/en/immigration-refugees-citizenship/news/2024/04/speaking-notes-for-the-honourable-marc-miller-minister-of-immigration-refugees-and-citizenship-update-on-the-international-students-program.html,0.8398413288707078
www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/2023/06/les-voyageurs-admissibles-de-13nouveaux-pays-maintenant-dispenses-de-lobligation-de-visa-pour-entrer-au-canada.html,0.8395654370894391


#=================================================================
# Traffic sources
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# Segments: IRCC - EN & FR, Public traffic"
#=================================================================


##############################################
# Referrer types
##############################################
,,Entries
Referrer Type,,22364503
Search Engines,,12024294
Search Engines,Referring Domain,12024294
Search Engines,google.com,10040128
Search Engines,google.ca,697505
Search Engines,bing.com,695092
Search Engines,yahoo.com,181372
Search Engines,google.co.in,87321
Typed/Bookmarked,,7594995
Other Web Sites,,2351009
Social Networks,,394152
Social Networks,Referring Domain,394152
Social Networks,facebook.com,207551
Social Networks,youtube.com,70670
Social Networks,t.co,49782
Social Networks,instagram.com,28069
Social Networks,linkedin.com,16493
Hard Drive,,53


#=================================================================
# Top content
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# Segments: IRCC - EN & FR, Public traffic"
#=================================================================


##############################################
"# Top pages (E/F) "
##############################################
,Visits
Page Title (v11),25079132
Sign in to your IRCC secure account,5827305
Immigration and citizenship,3019918
My application,1324295
Check processing times,1202566
Ouvrir une session dans votre compte sécurisé d’IRCC,1105824
How to check your application status,927768
Express Entry rounds of invitations,645344
How to apply for a visitor visa,643464
Client Application Status,635841
Comprehensive Ranking System (CRS) tool: skilled immigrants (Express Entry),610649


##############################################
# Top 10 topics on theme page
##############################################
,,Activity Map Link Instances
Activity Map Page,,5650892
Immigration and citizenship,,5650892
Immigration and citizenship,Activity Map Link,4487618
Immigration and citizenship,Sign in or create an IRCC secure account,1773257
Immigration and citizenship,My application,1342405
Immigration and citizenship,Visit,179670
Immigration and citizenship,Immigrate,107533
Immigration and citizenship,Work,103041
Immigration and citizenship,Study,97470
Immigration and citizenship,Navigation Tracking,96535
Immigration and citizenship,How to check your application status,95282
Immigration and citizenship,Search,91088
Immigration and citizenship,Check application processing times,46010


##############################################
# Top visit programs
##############################################
,,Activity Map Link Instances
Activity Map Page,,787383
Visit Canada,,787383
Visit Canada,Activity Map Link,666770
Visit Canada,Apply for a visitor visa,310237
Visit Canada,Sign in to your IRCC account,54943
Visit Canada,Apply for an Electronic Travel Authorization (eTA),40913
Visit Canada,Find out if you need a visa or eTA,36483
Visit Canada,Stay in Canada longer,27006
Visit Canada,Visitor visas for workers and students,22377
Visit Canada,Check your application status,15344
Visit Canada,Solicitar una visa de visitante,12949
Visit Canada,Check processing times,12531
Visit Canada,Navigation Tracking,12140


##############################################
# Top 10 work programs
##############################################
,,Activity Map Link Instances
Activity Map Page,,187985
Get a work permit,,187985
Get a work permit,Activity Map Link,154767
Get a work permit,Temporary workers,32637
Get a work permit,Find out if you need a work permit,22692
Get a work permit,Create an account or sign in,14155
Get a work permit,Check processing times,10140
Get a work permit,Work and travel in Canada with International Experience Canada,6400
Get a work permit,Caregivers,5804
Get a work permit,Outbound Link - https://www.jobbank.gc.ca/findajob/foreign-candidates,5671
Get a work permit,Agricultural workers,5237
Get a work permit,Open work permit for family members,5086
Get a work permit,Open work permit for vulnerable foreign workers,3592


##############################################
# Top 10 immigration programs
##############################################
,,Activity Map Link Instances
Activity Map Page,,524760
Immigrate to Canada,,524760
Immigrate to Canada,Activity Map Link,440242
Immigrate to Canada,Express Entry,89764
Immigrate to Canada,Sign in to your IRCC secure account,43857
Immigrate to Canada,Family sponsorship,39202
Immigrate to Canada,Provincial nominees,30048
Immigrate to Canada,Search,19341
Immigrate to Canada,Caregivers,14069
Immigrate to Canada,Explore immigration programs,12718
Immigrate to Canada,Temporary resident to permanent resident pathway,12303
Immigrate to Canada,Immigration and citizenship,9565
Immigrate to Canada,Atlantic Immigration Program,9551


##############################################
# Top 10 clicks on Study
##############################################
,,Activity Map Link Instances
Activity Map Page,,217639
Study in Canada as an international student,,217639
Study in Canada as an international student,Activity Map Link,181526
Study in Canada as an international student,Get a study permit,33728
Study in Canada as an international student,Extend your study permit or restore your status,26459
Study in Canada as an international student,Sign in to your study permit account,24134
Study in Canada as an international student,Find out if you need a study permit,9401
Study in Canada as an international student,Work while studying,7783
Study in Canada as an international student,Get a study permit faster,7214
Study in Canada as an international student,Learn more about the changes to open work permit requirements,6598
Study in Canada as an international student,"Choosing a school, college or university",6338
Study in Canada as an international student,Learn more about the provincial attestation letter.,5679
Study in Canada as an international student,Stay and work in Canada after you graduate,5403


#=================================================================
# Top content (FR)
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# Segments: IRCC - EN & FR, Public traffic"
#=================================================================


##############################################
# Top topics on theme page (FR)
##############################################
,,Activity Map Link Instances
Activity Map Page,,1273932
Immigration et citoyenneté,,1273932
Immigration et citoyenneté,Activity Map Link,850763
Immigration et citoyenneté,Ouvrir une session dans votre compte sécurisé d’IRCC ou en créer un,430403
Immigration et citoyenneté,Ma demande,166325
Immigration et citoyenneté,Immigrer,29327
Immigration et citoyenneté,Visiter,23395
Immigration et citoyenneté,Étudier,20340
Immigration et citoyenneté,Travailler,19540
Immigration et citoyenneté,Comment vérifier l’état de sa demande,17146
Immigration et citoyenneté,Recherche,12447
Immigration et citoyenneté,Trouver un formulaire de demande,10941
Immigration et citoyenneté,Vérifier les délais de traitement des demandes,10347


##############################################
# Top visit programs (FR)
##############################################
,,Activity Map Link Instances
Activity Map Page,,122661
Visiter le Canada,,122661
Visiter le Canada,Activity Map Link,94086
Visiter le Canada,Demander un visa de visiteur,39405
Visiter le Canada,Se connecter à votre compte d'IRCC,9027
Visiter le Canada,Vérifier si vous avez besoin d’un visa ou d'une AVE,8389
Visiter le Canada,Présenter une demande d’autorisation de voyage électronique (AVE),7993
Visiter le Canada,Visas de visiteurs pour les travailleurs et les étudiants,3383
Visiter le Canada,Vérifier l’état de votre demande,2594
Visiter le Canada,Vérifier les délais de traitement,2549
Visiter le Canada,Prolonger votre séjour au Canada,2539
Visiter le Canada,Solicitar una visa de visitante,1616
Visiter le Canada,Rendre visite à vos enfants et petits-enfants,1548


##############################################
# Top 10 immigration programs (FR)
##############################################
,,Activity Map Link Instances
Activity Map Page,,145446
Immigrer au Canada,,145446
Immigrer au Canada,Activity Map Link,116537
Immigrer au Canada,Se connecter à votre compte sécurisé d’IRCC,22031
Immigrer au Canada,Entrée express,18188
Immigrer au Canada,Travailleurs qualifiés sélectionnés par le Québec,7470
Immigrer au Canada,Programme d’immigration au Canada atlantique,7282
Immigrer au Canada,Candidats des provinces,6287
Immigrer au Canada,Parrainage d’un membre de la famille,5651
Immigrer au Canada,Immigration francophone,5552
Immigrer au Canada,Recherche,4472
Immigrer au Canada,Immigration et citoyenneté,3472
Immigrer au Canada,Outbound Link - https://prson-srpel.apps.cic.gc.ca/fr/connexion,3276


##############################################
# Top 10 work programs (FR)
##############################################
,,Activity Map Link Instances
Activity Map Page,,40331
Obtenir un permis de travail,,40331
Obtenir un permis de travail,Activity Map Link,31403
Obtenir un permis de travail,Ouvrir une session ou créer un compte,5741
Obtenir un permis de travail,Déterminer si vous avez besoin d’un permis de travail,4810
Obtenir un permis de travail,Travailleurs temporaires,4680
Obtenir un permis de travail,Travailler et voyager au Canada avec Expérience internationale Canada,1472
Obtenir un permis de travail,Permis de travail ouvert pour les membres de votre famille,1452
Obtenir un permis de travail,Vérifier les délais de traitement,1235
Obtenir un permis de travail,Travailleurs d’expression française hors du Québec,1116
Obtenir un permis de travail,Permis de travail ouvert pour les travailleurs étrangers vulnérables,1092
Obtenir un permis de travail,Outbound Link - https://www.guichetemplois.gc.ca/trouverunemploi/immigrants,976
Obtenir un permis de travail,Explorer les programmes d’immigration,807


##############################################
# Top 10 clicks on Study
##############################################
,,Activity Map Link Instances
Activity Map Page,,58681
Étudier au Canada à titre d’étudiant étranger,,58681
Étudier au Canada à titre d’étudiant étranger,Activity Map Link,47298
Étudier au Canada à titre d’étudiant étranger,Ouvrez une session dans votre compte de demande de permis d’études,8694
Étudier au Canada à titre d’étudiant étranger,Obtenir un permis d’études,7882
Étudier au Canada à titre d’étudiant étranger,Faire prolonger un permis d’études ou rétablir son statuts,3074
Étudier au Canada à titre d’étudiant étranger,Vérifiez si vous avez besoin d’un permis d’études,3046
Étudier au Canada à titre d’étudiant étranger,"Choisir une école, un collège ou une université",2523
Étudier au Canada à titre d’étudiant étranger,Travailler pendant ses études,2428
Étudier au Canada à titre d’étudiant étranger,Trouver un établissement d’enseignement (établissement d’enseignement désigné),2289
Étudier au Canada à titre d’étudiant étranger,Apprenez-en davantage sur la lettre d’attestation provinciale.,2261
Étudier au Canada à titre d’étudiant étranger,Apprenez en plus sur les changements aux conditions pour l’obtention d’un permis de travail ouvert,2254
Étudier au Canada à titre d’étudiant étranger,Obtenir un permis d’études plus rapidement,1910


#=================================================================
# Site searches (don't include for now)
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
#=================================================================


##############################################
# Top searches from IRCC content
##############################################
,IRCC prev pages (E/F)
,Site Search (e50)
Phrase - Site Search (v50),818236
add multiple files,9307
reduce file size,7958
eta,7323
webform,6783
gckey,5842
pgwp,5488
web form,5081
Work Permit,4539
visa,4502
express entry,4457


##############################################
# Top searches leading to IRCC content
##############################################
,IRCC search destination URLs (E/F)
,Site Search Result Click (e51)
Phrase - Site Search (v50),291266
eta,5369
webform,4913
web form,3664
Processing time,3361
gckey,3284
express entry,3266
Work Permit,2559
visa,2418
VISITOR VISA,2334
sign in,2275


#=================================================================
# Task success (last quarter)
# Report suite: GC
"# Date: Jan 1, 2024 - Mar 31, 2024"
"# Segments: IRCC, Survey Data - TSS - Exclude 'I started this survey before I finished my visit', Survey Data - TSS - Exclude testing"
"# Overall scores for task success, ease, and satisfaction remain stable compared to last month."
#=================================================================


##############################################
# Key metric summary Data (from Satisfaction (vs. prev month) (2))
##############################################
,Survey Data - GC Task Success Survey Completed / Données du sondage - Sondage sur la réussite de tâches du GC terminé (e120),Survey Data - GC Task Success Survey Completed / Données du sondage - Sondage sur la réussite de tâches du GC terminé (e120)
,Survey Data - TSS - Institution (Sampling),Prior quarter to this date range
,Survey Data - TSS - Institution (Sampling),Survey Data - TSS - Institution (Sampling)
Segments,47319,45409
All Visits,47319,45409


##############################################
# Key metric summary Data (from Task success (vs. prev month) (3))
##############################################
,Survey Data - Satisfaction - % satisfied or very satisfied,Survey Data - Satisfaction - % satisfied or very satisfied
,Survey Data - TSS - Institution (Sampling),Prior quarter to this date range
,Survey Data - TSS - Institution (Sampling),Survey Data - TSS - Institution (Sampling)
Segments,0.5927428728417761,0.6015327358012729
All Visits,0.5927428728417761,0.6015327358012729


##############################################
# Key metric summary Data (from Task success (vs. prev month) (2))
##############################################
,Survey Data - Ease - % who said it was easy or very easy to do what they needed to do online,Survey Data - Ease - % who said it was easy or very easy to do what they needed to do online
,Survey Data - TSS - Institution (Sampling),Prior quarter to this date range
,Survey Data - TSS - Institution (Sampling),Survey Data - TSS - Institution (Sampling)
Segments,0.6032671865424036,0.6183135501772776
All Visits,0.6032671865424036,0.6183135501772776


##############################################
# Key metric summary Data
##############################################
,Survey Data - Effectiveness - % able to complete the purpose of their visit,Survey Data - Effectiveness - % able to complete the purpose of their visit
,Survey Data - TSS - Institution (Sampling),Prior quarter to this date range
,Survey Data - TSS - Institution (Sampling),Survey Data - TSS - Institution (Sampling)
Segments,0.7733257253957184,0.7729965425356207
All Visits,0.7733257253957184,0.7729965425356207


##############################################
# Highest-performing tasks
"# The following 3 tasks got task success scores above 80%: Check processing times, Apply for a work permit, and Apply for an eTA."
"# "
"# (Insight for worst tasks) The program content for PR cards clearly needs improvement as the PR card task has the lowest scores in all 3 areas: task success, ease, and satisfaction."
##############################################
,Survey Data - TSS - Task (Sampling),Survey Data - TSS - Task (Sampling),Survey Data - TSS - Task (Sampling),Survey Data - TSS - Task (Sampling)
,TSS task completion % (min 384 responses),Survey Data - Ease - % who said it was easy or very easy to do what they needed to do online,Survey Data - Satisfaction - % satisfied or very satisfied,Survey Data - GC Task Success Survey Completed / Données du sondage - Sondage sur la réussite de tâches du GC terminé (e120)
TSS Survey Data - Reason of Visit - Task (v120c),0.7733257253957184,,,47319
Check processing times,0.8431372549019608,0.7013574660633484,0.5844645550527904,1326
Apply for a work permit,0.8184745762711865,0.583135593220339,0.5931355932203389,11800
Apply for an Electronic Travel Authorization (eTA),0.8112676056338028,0.663661971830986,0.6152112676056338,1775
Study in Canada – for non-Canadians,0.7975402081362346,0.6319772942289499,0.6698202459791863,2114
Apply for Canadian citizenship,0.7965926690758905,0.60557563242127,0.6133195663397005,3874
Apply for a new Canadian passport,0.7891061452513967,0.6229050279329609,0.6340782122905028,716
Check if you need a visa or electronic travel authorization (eTA) to travel to Canada,0.7875716174526223,0.6227412957249889,0.5971793741736448,2269
Check your application status,0.7858536585365854,0.6465040650406504,0.5894308943089431,6150
Apply for a visitor visa to Canada,0.7847712618974516,0.5775253300583358,0.6017807798587658,3257
Renew a Canadian passport,0.7734138972809668,0.6612957368244378,0.6203423967774421,2979
Find a visa application centre,0.7243947858472998,0.5232774674115456,0.6052141527001862,537
Immigrate through Express Entry,0.7239234449760765,0.6521531100478469,0.6526315789473685,2090
How to extend your stay in Canada,0.7109004739336493,0.533175355450237,0.556872037914692,422
Immigrate as a provincial nominee,0.7016434892541087,0.6194690265486725,0.5992414664981036,791
"Contact Immigration, Refugees and Citizenship Canada",0.6591166477916195,0.5045300113250283,0.5084937712344281,1766
"IRCC secure account - register, sign in, help",0.6543535620052771,0.5184696569920845,0.5316622691292876,758
Sponsor your family members to immigrate to Canada,0.6417445482866043,0.5560747663551402,0.5093457943925234,642
Find an IRCC application package or form,0.6335877862595419,0.4580152671755725,0.5221374045801527,655
Check the status of a passport application,0.632890365448505,0.6777408637873754,0.473421926910299,602
"Get, renew or replace a permanent resident card",0.5397727272727273,0.38920454545454547,0.40767045454545453,704
Immigrate as a Quebec-selected skilled worker,0,1,0.6666666666666666,3
Apply for a permanent resident travel document,0,0.8571428571428571,0.8571428571428571,7
Work in Canada after my studies,0,0.8333333333333334,0.8333333333333334,12
Immigrate to Canada,0,0.8,0.4,10
Pensions and retirement,0,0.75,1,4


#=================================================================
# Task success (last 12 mos)
# Report suite: GC
"# Date: May 1, 2023 - Apr 30, 2024"
"# Segments: IRCC, Survey Data - TSS - Exclude 'I started this survey before I finished my visit', Survey Data - TSS - Exclude testing"
#=================================================================


##############################################
# Last 12 months
##############################################
,Survey Data - TSS - Institution (Sampling),Survey Data - TSS - Institution (Sampling),Survey Data - TSS - Institution (Sampling),Survey Data - TSS - Institution (Sampling)
,Survey Data - Effectiveness - % able to complete the purpose of their visit,Survey Data - Ease - % who said it was easy or very easy to do what they needed to do online,Survey Data - Satisfaction - % satisfied or very satisfied,Survey Data - GC Task Success Survey Completed / Données du sondage - Sondage sur la réussite de tâches du GC terminé (e120)
Month,0.7539399140046873,0.6038402627839599,0.5864705013932717,216756
2024-04-01,0.7298900366544485,0.5745418193935354,0.5575474841719427,15005
2024-03-01,0.7645487129358097,0.604040404040404,0.5869012707722385,15345
2024-02-01,0.7780264875955978,0.5902505751414537,0.5897531555058136,16083
2024-01-01,0.7770436095903341,0.615694418224152,0.6014096029198918,15891
2023-12-01,0.7829495749773047,0.61962531979863,0.6011388957662788,12117
2023-11-01,0.7711298286378159,0.6163955852454255,0.5988963113563752,13772
2023-10-01,0.7681352459016394,0.6188524590163934,0.6036372950819672,19520
2023-09-01,0.7591074681238615,0.6074175268164339,0.5945658773527626,19764
2023-08-01,0.7545584921122721,0.6135525507068224,0.5951649252202418,19524
2023-07-01,0.7668972556135178,0.6237809026990248,0.5925379904740304,17636
2023-06-01,0.706169801371067,0.584426085428019,0.556512568113904,28445
2023-05-01,0.7367887038133085,0.5932611820410925,0.5809165468842479,23654


#=================================================================
# Pages leading to Contact & Help Centre
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# Segments: IRCC - EN & FR, Public Traffic"
#=================================================================


##############################################
# Pages leading to Contact us
"# The pages with the highest % of visits clicking on the Contact Us link in the footer are the Passport Help Centre and the Client Support Centre services page. "
# (Note that the Contact Us link from the Passport Help Centre is contextualized and sends users to the Contact the Passport Program page.)
"# "
# Footnotes:
# Pages with less than 1K visits in a month are excluded.
"# Main ""Contact IRCC"" page is excluded."
##############################################
,% of visits that click on Contact Us link in footer (min 1K visits)
Page URL (v12),0.002945516622782906
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/help-centre.html,0.07402765265755357
www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/centre-aide.html,0.06775268419104036
www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc/client-support-centre.html,0.05864135784192121
www.canada.ca/fr/immigration-refugies-citoyennete/organisation/contactez-ircc/centre-soutien-clientele.html,0.05009294589570492
ircc.canada.ca/english/helpcentre/index-featured-int.asp,0.035606060606060606


##############################################
# Pages leading to Help Centre
"# The pages with the highest % of visits clicking on the Help Centre link in the footer are the Contact IRCC pages. The content on the Contact IRCC pages is possibly not what users are hoping for (they're likely hoping for a phone number to call), leading them to look for help elsewhere, such as the ""Help Centre"", which has a promising name, but this ultimately causes them to end up in a loop."
"# "
# Footnotes:
# Help Centre link in footer is contextualized.
# Pages with less than 1K visits in a month are excluded.
"# Help Centre content is excluded (filtered out URLs with ""helpcentre"" and ""centre-aide"")."
##############################################
,% of visits that click on Help Centre link in footer (min 1K visits)
Page URL (v12),0.001013345745439289
www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc.html,0.019699689640915063
www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc/client-support-centre.html,0.01478837735969847
www.canada.ca/fr/immigration-refugies-citoyennete/organisation/contactez-ircc.html,0.014526124978566004
www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc/international-experience-canada.html,0.013817963352358065
www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/help-centre.html,0.012651286671105714


#=================================================================
# Top news & web notices
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
"# 2 of the top 5 news releases, as well as the top 2 web notices, were related to international students."
#=================================================================


##############################################
# Top news releases
##############################################
,news releases
,IRCC news
,Visits
Page Title (v11),271007
Canada to introduce new rules around off-campus work hours for international students,74400
"Canada to stabilize growth and decrease number of new international student permits issued to approximately 360,000 for 2024",44683
Changes to the Start-up Visa and Self-Employed Persons programs to help reduce backlogs and improve processing times,24080
Canada expands simplified renewal process for passports,22749
"Canada announces new immigration pilots to support rural and Francophone minority communities, will create a permanent program",18489


##############################################
# Top web notices
##############################################
,IRCC web notices
,Visits
Page Title (v11),211450
"Permanent residence fees increasing on April 30, 2024",72032
Additional information about International Student Program reforms,31868
Visitors can continue to apply for work permits inside Canada with temporary policy extended by 2 years,18904
Update on public-private college partnership programs for international students,17862
CUAET measures extended for those affected by processing delays,13330


#=================================================================
# Top crisis content
# Report suite: GC
"# Date: Apr 1, 2024 - Apr 30, 2024"
#=================================================================


##############################################
# Freeform table
# The most popular crisis content is the immigration measures for Ukraine.
##############################################
,IRCC crisis content (E/F)
,Visits
Page Title (v11),205506
Immigration measures and support for Ukrainians and their families,75346
"Situation in Iran: Temporary immigration, passport and citizenship measures",36025
Canada’s response to the situation in Afghanistan,25215
"Conflict in Sudan: Temporary immigration, passport and citizenship measures",20007
"Canadiens, résidents permanents et membres de leur famille immédiate qui habitent en Haïti",12567


##############################################
# Key metric summary Data
##############################################
,% of IRCC traffic to crisis content,% of IRCC traffic to crisis content
,% of IRCC traffic to crisis content,Month before
Day,0.008126183649868272,0.009093002673452755
2024-04-01,0.010787617269884366,0.01680623900373873
2024-04-02,0.009523909804520303,0.013820659023752326
2024-04-03,0.008863891119587767,0.01292349125863039
2024-04-04,0.018090453372976368,0.00961400623203386
2024-04-05,0.014919849819459997,0.009096897437586456
